gene_name,grupo,condition,mean_vst,sd_vst,n,z_score
Il1b,Inflamación M1,M1_Lac_24h,13.55941495176935,0.6672166251693054,4,1.0742363421614154
Il6,Inflamación M1,M1_8h,10.446798972603574,0.1473265004297264,4,1.1107435542945556
Il6,Inflamación M1,M1_Lac_8h,10.981712117933926,0.1265176998181059,4,1.1107435542945556
Il6,Inflamación M1,M1_16h,6.357149582750583,0.12863480234455327,4,1.1107435542945556
Il6,Inflamación M1,M1_Lac_16h,7.524795140599412,0.1300620896019992,4,1.1107435542945556
Il6,Inflamación M1,M1_24h,5.168210233347359,0.4318295305385752,4,1.1107435542945556
Il6,Inflamación M1,M1_Lac_24h,6.308316421259242,0.3163367516190668,4,1.1107435542945556
Nos2,Inflamación M1,M1_8h,14.41552630993365,0.12665936596574529,4,0.45340926627884054
Nos2,Inflamación M1,M1_Lac_8h,15.512474362629874,0.13184243892156292,4,0.45340926627884054
Nos2,Inflamación M1,M1_16h,10.4365243166039,0.2851267787254774,4,0.45340926627884054
Nos2,Inflamación M1,M1_Lac_16h,14.113597611892875,0.22357684013011406,4,0.45340926627884054
Nos2,Inflamación M1,M1_24h,11.70081885259965,0.27571561282877394,4,0.45340926627884054
Nos2,Inflamación M1,M1_Lac_24h,14.895895214811075,0.30021799555629314,4,0.45340926627884054
Vegfa,Homeostático / M2-like,M1_8h,10.55254158262885,0.07148099905523247,4,-1.0185985304576026
Vegfa,Homeostático / M2-like,M1_Lac_8h,10.7822000362259,0.14083813557015443,4,-1.0185985304576026
Vegfa,Homeostático / M2-like,M1_16h,11.008083071044226,0.08649569404121174,4,-1.0185985304576026
Vegfa,Homeostático / M2-like,M1_Lac_16h,11.999987798837424,0.1477943893813582,4,-1.0185985304576026
Vegfa,Homeostático / M2-like,M1_24h,12.5806403299935,0.3353597357945869,4,-1.0185985304576026
Vegfa,Homeostático / M2-like,M1_Lac_24h,13.5175470090405,0.04414852374523879,4,-1.0185985304576026
