Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,spike-in_information,SRA Study,strain/background,time_after_lps/ifng_treatment,treatment,chip_antibody
SRR7264082,RNA-Seq,100,4786318279,PRJNA474681,SAMN09368980,2127053979,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168218,GSM3176472,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:37:00Z,1,GSM3176472,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,"LPS/IFNg\, lactic acid (LA)",
SRR7264083,RNA-Seq,100,6112985941,PRJNA474681,SAMN09368979,2681920609,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168219,GSM3176473,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T14:28:00Z,1,GSM3176473,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,"LPS/IFNg\, lactic acid (LA)",
SRR7264084,RNA-Seq,100,4609978673,PRJNA474681,SAMN09368977,2042814851,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168220,GSM3176474,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:31:00Z,1,GSM3176474,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,8h,"LPS/IFNg\, lactic acid (LA)",
SRR7264085,RNA-Seq,100,5325300030,PRJNA474681,SAMN09368975,2351637817,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168221,GSM3176475,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:44:00Z,1,GSM3176475,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,"LPS/IFNg\, lactic acid (LA)",
SRR7264086,RNA-Seq,100,4024234999,PRJNA474681,SAMN09368974,1809596613,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168222,GSM3176476,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:22:00Z,1,GSM3176476,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,"LPS/IFNg\, lactic acid (LA)",
SRR7264087,RNA-Seq,100,4408244489,PRJNA474681,SAMN09368972,1950607020,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168223,GSM3176477,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:29:00Z,1,GSM3176477,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,"LPS/IFNg\, lactic acid (LA)",
SRR7264088,RNA-Seq,100,3672001646,PRJNA474681,SAMN09368970,1630683368,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168224,GSM3176478,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:22:00Z,1,GSM3176478,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,16h,"LPS/IFNg\, lactic acid (LA)",
SRR7264089,RNA-Seq,100,3635452430,PRJNA474681,SAMN09368969,1584050337,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168225,GSM3176479,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:26:00Z,1,GSM3176479,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,"LPS/IFNg\, lactic acid (LA)",
SRR7264090,RNA-Seq,100,4647065496,PRJNA474681,SAMN09368967,2043009304,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168226,GSM3176480,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:28:00Z,1,GSM3176480,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,"LPS/IFNg\, lactic acid (LA)",
SRR7264091,RNA-Seq,100,5712362529,PRJNA474681,SAMN09368965,2479891603,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168227,GSM3176481,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:49:00Z,1,GSM3176481,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,"LPS/IFNg\, lactic acid (LA)",
SRR7264092,RNA-Seq,100,4669932739,PRJNA474681,SAMN09368964,2060329221,Primary mouse bone marrow derived macrophages (BMDM),GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4168228,GSM3176482,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2019-08-07T00:00:00Z,2018-06-05T13:30:00Z,1,GSM3176482,Primary mouse bone marrow derived macrophages (BMDM),none,SRP149804,C57BL/6,24h,"LPS/IFNg\, lactic acid (LA)",
