contrast,regulation,gene_name,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj
Lac_8h_vs_M1_8h,UP,Rhof,ENSMUSG00000029449.12,ENSMUSG00000029449,protein_coding,625.5911544672983,1.29100501690487,1.236421540119818e-72
Lac_8h_vs_M1_8h,UP,Bcorl1,ENSMUSG00000036959.16,ENSMUSG00000036959,protein_coding,479.7932377005604,1.8348459621393964,5.448339093427997e-54
Lac_8h_vs_M1_8h,UP,Stxbp1,ENSMUSG00000026797.17,ENSMUSG00000026797,protein_coding,1545.8178747349612,1.2141025390663125,1.302106182975687e-53
Lac_8h_vs_M1_8h,UP,Slco4a1,ENSMUSG00000038963.16,ENSMUSG00000038963,protein_coding,640.58170619147,2.001014065908767,1.9149959872945592e-52
Lac_8h_vs_M1_8h,UP,Wdr59,ENSMUSG00000031959.16,ENSMUSG00000031959,protein_coding,909.6351247537068,0.9144121002241636,3.629148379494973e-51
Lac_8h_vs_M1_8h,UP,Castor2,ENSMUSG00000015944.10,ENSMUSG00000015944,protein_coding,1303.7484146626734,1.6998591173836677,7.988656762994466e-49
Lac_8h_vs_M1_8h,UP,Men1,ENSMUSG00000024947.18,ENSMUSG00000024947,protein_coding,1586.5231999146408,1.0136001610632002,3.0774082963938075e-48
Lac_8h_vs_M1_8h,UP,Hspa1l,ENSMUSG00000007033.5,ENSMUSG00000007033,protein_coding,373.950243664063,1.1918466886397685,1.0518687605687111e-47
Lac_8h_vs_M1_8h,UP,Pcgf2,ENSMUSG00000018537.17,ENSMUSG00000018537,protein_coding,285.65910224322886,1.6032863733803893,1.7565045516780296e-47
Lac_8h_vs_M1_8h,UP,Cpsf6,ENSMUSG00000055531.13,ENSMUSG00000055531,protein_coding,1451.1149423332945,0.8998305066207862,7.029521774640441e-46
