gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,contrast,gene_name_gtf,gene_type,gene_name_final,regulation_strict
ENSMUSG00000070283.5,Ndufaf3,994.843285752785,-0.2000774710511132,0.109774986152487,-1.822614404826143,0.06836181237377757,0.11053061240050024,NO,ENSMUSG00000070283,Lac_8h_vs_M1_8h,Ndufaf3,protein_coding,Ndufaf3,NS
ENSMUSG00000075271.5,Ift70a1,160.3764632883871,-0.26615116747710926,0.1461096441344303,-1.8215852146777731,0.06851794602821241,0.11075146755591486,NO,ENSMUSG00000075271,Lac_8h_vs_M1_8h,Ift70a1,protein_coding,Ift70a1,NS
ENSMUSG00000029819.7,Npy,2977.4644813435816,-0.1862313565057947,0.1022342944499975,-1.8216133588800765,0.0685136725073614,0.11075146755591486,NO,ENSMUSG00000029819,Lac_8h_vs_M1_8h,Npy,protein_coding,Npy,NS
ENSMUSG00000118220.2,Gm6192,537.6741574898674,-0.23259966306656693,0.12768694999882957,-1.821640058507929,0.06850961853860263,0.11075146755591486,NO,ENSMUSG00000118220,Lac_8h_vs_M1_8h,Gm6192,processed_pseudogene,Gm6192,NS
ENSMUSG00000024360.9,Etf1,8100.572444121048,0.0944699614188042,0.05187430801973394,1.8211319827700851,0.06858679663419362,0.11085222044868816,NO,ENSMUSG00000024360,Lac_8h_vs_M1_8h,Etf1,protein_coding,Etf1,NS
ENSMUSG00000072940.6,Gm10443,6721.746090939404,-0.22326219835410763,0.1226147308937314,-1.8208431949959265,0.06863069612973137,0.11091263122514604,NO,ENSMUSG00000072940,Lac_8h_vs_M1_8h,Gm10443,transcribed_processed_pseudogene,Gm10443,NS
ENSMUSG00000032997.17,NA,93.20560091930942,0.2839553453063825,0.1560634968718255,1.8194859848590617,0.06883731910551097,0.11123597954278976,NO,ENSMUSG00000032997,Lac_8h_vs_M1_8h,Chpf,protein_coding,Chpf,NS
ENSMUSG00000084104.2,Gm13578,710.806947204988,-0.15967104529429757,0.08777313387207437,-1.8191334665913987,0.06889107036850649,0.11131226058782152,NO,ENSMUSG00000084104,Lac_8h_vs_M1_8h,Gm13578,processed_pseudogene,Gm13578,NS
ENSMUSG00000023960.14,NA,7.695547718402097,-0.9683797236387356,0.5325605083920049,-1.8183468514453476,0.06901113617005597,0.1114956661322413,NO,ENSMUSG00000023960,Lac_8h_vs_M1_8h,Enpp5,protein_coding,Enpp5,NS
ENSMUSG00000063383.6,Zfp947,100.63334748866946,-0.25174151363441943,0.13845586827501602,-1.8182076120773965,0.06903240701019275,0.11151943703005016,NO,ENSMUSG00000063383,Lac_8h_vs_M1_8h,Zfp947,protein_coding,Zfp947,NS
ENSMUSG00000066800.12,NA,2234.5501136669495,-0.20243764236662384,0.11137886455015888,-1.81755886257448,0.06913158395973037,0.11166904605045352,NO,ENSMUSG00000066800,Lac_8h_vs_M1_8h,Rnasel,protein_coding,Rnasel,NS
ENSMUSG00000091876.2,Gm3851,133.13811977723728,-0.2297424497824752,0.12642145953430314,-1.8172741449811929,0.06917514682481904,0.11172880111148946,NO,ENSMUSG00000091876,Lac_8h_vs_M1_8h,Gm3851,processed_pseudogene,Gm3851,NS
ENSMUSG00000045822.5,Zswim3,248.15467496609784,0.15867600804694995,0.08733626799739055,1.8168398041886893,0.06924164603716376,0.1118255871327642,NO,ENSMUSG00000045822,Lac_8h_vs_M1_8h,Zswim3,protein_coding,Zswim3,NS
ENSMUSG00000004665.11,NA,2786.4849364242705,-0.13690922061139826,0.0753603066354375,-1.8167285501332864,0.06925868789679593,0.11184248849804496,NO,ENSMUSG00000004665,Lac_8h_vs_M1_8h,Cnn2,protein_coding,Cnn2,NS
ENSMUSG00000142561.1,ENSMUSG00000142561,35.439586450563034,0.48069765136997816,0.2647116209614658,1.8159295372980755,0.0693811816605698,0.1120296596391616,NO,ENSMUSG00000142561,Lac_8h_vs_M1_8h,ENSMUSG00000142561,lncRNA,ENSMUSG00000142561,NS
ENSMUSG00000001247.17,NA,133.10404664283146,0.40474534442856774,0.2229654439707973,1.81528284033816,0.06948045465537804,0.11217930426937804,NO,ENSMUSG00000001247,Lac_8h_vs_M1_8h,Lsr,protein_coding,Lsr,NS
ENSMUSG00000057421.13,NA,422.40122689066794,0.15257299467947164,0.08405280594587786,1.815204060858056,0.06949255588190896,0.11218819112661324,NO,ENSMUSG00000057421,Lac_8h_vs_M1_8h,Las1l,protein_coding,Las1l,NS
ENSMUSG00000026669.15,NA,619.6538981478861,-0.1961393287527851,0.10815610628874583,-1.813483634748733,0.0697572604609523,0.11260483829131038,NO,ENSMUSG00000026669,Lac_8h_vs_M1_8h,Mcm10,protein_coding,Mcm10,NS
ENSMUSG00000031264.14,NA,2890.395956958393,-0.0827918272736861,0.04566395625320811,-1.8130673307105225,0.06982143718108239,0.11269773734828084,NO,ENSMUSG00000031264,Lac_8h_vs_M1_8h,Btk,protein_coding,Btk,NS
ENSMUSG00000121418.1,ENSMUSG00000121418,49.81505374266842,-0.40330137789790615,0.2224753477157931,-1.8127913139082448,0.06986401417389033,0.1127557582842535,NO,ENSMUSG00000121418,Lac_8h_vs_M1_8h,ENSMUSG00000121418,lncRNA,ENSMUSG00000121418,NS
ENSMUSG00000057945.4,Gm17136,31.454661841195456,-0.4259257777983449,0.23497728884433347,-1.8126252962281388,0.06988963350632449,0.1127864022972627,NO,ENSMUSG00000057945,Lac_8h_vs_M1_8h,Gm17136,processed_pseudogene,Gm17136,NS
ENSMUSG00000089704.10,NA,5353.445353449741,-0.10404480807869516,0.05741454514361357,-1.8121681155610176,0.06996022406481485,0.112889607215698,NO,ENSMUSG00000089704,Lac_8h_vs_M1_8h,Galnt2,protein_coding,Galnt2,NS
ENSMUSG00000031901.13,NA,666.0520870515192,-0.15686062218348906,0.08658618799036565,-1.811612519550379,0.07004608911207792,0.1130174375180263,NO,ENSMUSG00000031901,Lac_8h_vs_M1_8h,Dus2,protein_coding,Dus2,NS
ENSMUSG00000024486.7,Hbegf,56.082791020116424,0.35848293540767595,0.1979394004521989,1.8110741701182795,0.0701293712561929,0.11314107651862408,NO,ENSMUSG00000024486,Lac_8h_vs_M1_8h,Hbegf,protein_coding,Hbegf,NS
ENSMUSG00000107721.2,Gm44261,7.580683480900646,-1.068384469963619,0.5901718805536318,-1.8102937553740832,0.07025024493221149,0.1133253334582801,NO,ENSMUSG00000107721,Lac_8h_vs_M1_8h,Gm44261,processed_pseudogene,Gm44261,NS
ENSMUSG00000055862.8,Izumo4,49.85328903236868,-0.3844897618349274,0.2123989375770201,-1.8102245059276896,0.07026097880839254,0.11333189847439282,NO,ENSMUSG00000055862,Lac_8h_vs_M1_8h,Izumo4,protein_coding,Izumo4,NS
