gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
B4galt4,ENSMUSG00000022793.18,ENSMUSG00000022793,protein_coding,189.25817412074645,-0.9308158479055318,6.300911613401694e-17,DOWN,0.9308158479055318,15.079772072389998
Elp1,ENSMUSG00000028431.12,ENSMUSG00000028431,protein_coding,831.6457746439182,-0.8001850013817228,7.107119736728225e-17,DOWN,0.8001850013817228,12.92163255318929
Hpgds,ENSMUSG00000029919.6,ENSMUSG00000029919,protein_coding,1905.9925293175136,-0.6190789029576754,9.115631833314083e-17,DOWN,0.6190789029576754,9.930157605698028
Lpar6,ENSMUSG00000033446.8,ENSMUSG00000033446,protein_coding,369.1147352830042,-1.2356840645053564,1.2674654508171284e-16,DOWN,1.2356840645053564,19.643748496633705
Khdrbs1,ENSMUSG00000028790.14,ENSMUSG00000028790,protein_coding,3307.5665136565904,-0.5946993039787016,1.4694805755392834e-16,DOWN,0.5946993039787016,9.415776638600542
Apex1,ENSMUSG00000035960.15,ENSMUSG00000035960,protein_coding,750.4709084083955,-0.9892401918269368,1.865490247106327e-16,DOWN,0.9892401918269368,15.559963766915763
Amd1,ENSMUSG00000075232.7,ENSMUSG00000075232,protein_coding,1962.538603416914,-0.6379596928169134,2.784493611902969e-16,DOWN,0.6379596928169134,9.923624919425276
Ddx39b,ENSMUSG00000019432.16,ENSMUSG00000019432,protein_coding,3524.8388281688194,-0.5025023220564097,2.934139385142148e-16,DOWN,0.5025023220564097,7.805126995040159
P2ry12,ENSMUSG00000036353.14,ENSMUSG00000036353,protein_coding,239.50516953267905,-1.518942828490619,3.713641475006246e-16,DOWN,1.518942828490619,23.43759167248344
Fasn,ENSMUSG00000025153.10,ENSMUSG00000025153,protein_coding,1044.1083706158354,-1.3510187986659186,4.070991875035821e-16,DOWN,1.3510187986659186,20.792584298798666
Polg,ENSMUSG00000039176.18,ENSMUSG00000039176,protein_coding,700.427520013756,-0.7000265854487925,6.061830878901756e-16,DOWN,0.7000265854487925,10.652581890338045
Acsf3,ENSMUSG00000015016.9,ENSMUSG00000015016,protein_coding,299.33328549196005,-0.7786877035405274,8.18655575539511e-16,DOWN,0.7786877035405274,11.747982561449321
Hmgn2,ENSMUSG00000003038.16,ENSMUSG00000003038,protein_coding,3236.5863787819635,-0.6490508878368942,8.532845267945931e-16,DOWN,0.6490508878368942,9.78048690218774
Wdr11,ENSMUSG00000042055.14,ENSMUSG00000042055,protein_coding,1371.8804509643774,-0.584652715345911,8.532845267945931e-16,DOWN,0.584652715345911,8.81007688599935
Scamp5,ENSMUSG00000040722.8,ENSMUSG00000040722,protein_coding,1623.393640955595,-0.5247089679556125,8.93607060825323e-16,DOWN,0.5247089679556125,7.896268340787713
Ccnd1,ENSMUSG00000070348.6,ENSMUSG00000070348,protein_coding,5529.138104186235,-1.083732959250069,1.4578745732358224e-15,DOWN,1.083732959250069,16.078565453636795
Ddx56,ENSMUSG00000004393.11,ENSMUSG00000004393,protein_coding,1005.266054115746,-0.7292738786541207,1.4833349730224145e-15,DOWN,0.7292738786541207,10.81422787775292
Trappc13,ENSMUSG00000021711.18,ENSMUSG00000021711,protein_coding,1103.5937609712448,-0.6590842379275096,1.9304327700533794e-15,DOWN,0.6590842379275096,9.69799307095951
Mybbp1a,ENSMUSG00000040463.17,ENSMUSG00000040463,protein_coding,2600.1144699048086,-0.7497446872896271,1.9339632553353962e-15,DOWN,0.7497446872896271,11.031407279435435
Xpo5,ENSMUSG00000067150.7,ENSMUSG00000067150,protein_coding,941.1883342904018,-0.6979118365483651,1.9339632553353962e-15,DOWN,0.6979118365483651,10.268761946064549
Prpsap2,ENSMUSG00000020528.15,ENSMUSG00000020528,protein_coding,694.1783031490503,-0.5950763383994351,3.005667577118408e-15,DOWN,0.5950763383994351,8.641733727572237
Mccc2,ENSMUSG00000021646.10,ENSMUSG00000021646,protein_coding,276.6192725104274,-0.8611149396568677,3.13282958988675e-15,DOWN,0.8611149396568677,12.48966553127513
Txndc16,ENSMUSG00000021830.15,ENSMUSG00000021830,protein_coding,758.8560417414479,-0.6816238017047958,4.1340925221799205e-15,DOWN,0.6816238017047958,9.804217615781184
Ptger4,ENSMUSG00000039942.16,ENSMUSG00000039942,protein_coding,579.4544038521138,-0.6347160173577427,7.526783638725528e-15,DOWN,0.6347160173577427,8.964342212785091
