gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,gene_name_gtf,gene_type,gene_symbol,regulation_strict,abs_log2FC,rank_score
ENSMUSG00000047798.16,NA,1813.1766032048197,0.6659136372455826,0.05268075292798423,12.640548971574145,1.2616994489295088e-36,6.011457145813853e-34,UP,ENSMUSG00000047798,Cd300lf,protein_coding,Cd300lf,UP,0.6659136372455826,22.122330424039177
ENSMUSG00000018906.15,NA,1814.7533165859709,1.2016808514412616,0.09589449834811158,12.53128043987443,5.0343255003822036e-36,2.3320114456770452e-33,UP,ENSMUSG00000018906,P4ha2,protein_coding,P4ha2,UP,1.2016808514412616,39.213573183753844
ENSMUSG00000000982.6,Ccl3,37914.98254830196,1.2223068986189178,0.09762440641959508,12.520505306484274,5.766684577813538e-36,2.5990603248545553e-33,UP,ENSMUSG00000000982,Ccl3,protein_coding,Ccl3,UP,1.2223068986189178,39.829094756298176
ENSMUSG00000027611.13,NA,9590.186290673611,1.2247679964126956,0.09784310168662308,12.51767345168028,5.9761285973245475e-36,2.622576854973267e-33,UP,ENSMUSG00000027611,Procr,protein_coding,Procr,UP,1.2247679964126956,39.90449895353277
ENSMUSG00000020108.5,Ddit4,621.4686605188404,1.4992862301946688,0.1197977059582516,12.515149753511608,6.169141869397362e-36,2.6378617901043688e-33,UP,ENSMUSG00000020108,Ddit4,protein_coding,Ddit4,UP,1.4992862301946688,48.84486821777243
ENSMUSG00000038463.9,Olfml2b,447.5991292898916,1.7146950184205498,0.1377430454227437,12.448505208796732,1.4248880656180948e-35,5.940358345561837e-33,UP,ENSMUSG00000038463,Olfml2b,protein_coding,Olfml2b,UP,1.7146950184205498,55.258082921837406
ENSMUSG00000024120.13,NA,977.3544759612914,-0.8558093004217077,0.06878036504961413,-12.442639695273163,1.5335086252020541e-35,6.237265813138892e-33,DOWN,ENSMUSG00000024120,Lrpprc,protein_coding,Lrpprc,DOWN,0.8558093004217077,27.56134343863594
ENSMUSG00000005410.7,Mcm5,1487.7776874449237,-1.6398704670756885,0.13202177481576613,-12.421212102049806,2.0050050097299192e-35,7.960824652918126e-33,DOWN,ENSMUSG00000005410,Mcm5,protein_coding,Mcm5,DOWN,1.6398704670756885,52.63827090186795
ENSMUSG00000042745.10,NA,490.9446750492747,1.7585673233900605,0.14366440974473757,12.24080011545432,1.8816844747487927e-34,7.297434953700202e-32,UP,ENSMUSG00000042745,Id1,protein_coding,Id1,UP,1.7585673233900605,54.756211382984304
ENSMUSG00000029552.20,NA,4670.82250301028,0.8393599944941562,0.06859353628812616,12.23672141597186,1.9786495226964543e-34,7.499081691019561e-32,UP,ENSMUSG00000029552,Tes,protein_coding,Tes,UP,0.8393599944941562,26.12507304274113
ENSMUSG00000041488.17,NA,1708.5517301115735,0.6664865647722726,0.05462018003181359,12.20220373466504,3.0252394706941787e-34,1.1210865202954696e-31,UP,ENSMUSG00000041488,Stx3,protein_coding,Stx3,UP,0.6664865647722726,20.627999694217444
ENSMUSG00000020184.16,NA,11709.96066628466,0.7140986981867189,0.0586001359349526,12.18595634282118,3.6929562983776293e-34,1.338776939820551e-31,UP,ENSMUSG00000020184,Mdm2,protein_coding,Mdm2,UP,0.7140986981867189,22.046577466615954
ENSMUSG00000082838.2,Gm14519,669.6681959664944,1.0147752068848062,0.0849924214326383,11.939596375531876,7.357937668912805e-33,2.6106589056763817e-30,UP,ENSMUSG00000082838,Gm14519,processed_pseudogene,Gm14519,UP,1.0147752068848062,30.020348504107005
ENSMUSG00000064037.14,NA,590.413672179309,-1.214685171718305,0.101769404850484,-11.935661542905526,7.714312746857477e-33,2.680080820137402e-30,DOWN,ENSMUSG00000064037,Gpn1,protein_coding,Gpn1,DOWN,1.214685171718305,35.920490257353734
ENSMUSG00000027775.10,NA,10969.66965291261,-0.3370622553094314,0.02841890727873877,-11.860493157018745,1.8985359413588563e-32,6.46122150165312e-30,NO,ENSMUSG00000027775,Mfsd1,protein_coding,Mfsd1,NS,0.3370622553094314,9.838741182703478
ENSMUSG00000024013.16,NA,494.8388817301603,-1.3668416333498878,0.11726847927309487,-11.655660939942663,2.1470794759527976e-31,7.16093946819777e-29,DOWN,ENSMUSG00000024013,Fgd2,protein_coding,Fgd2,DOWN,1.3668416333498878,38.46979877229011
ENSMUSG00000018340.14,NA,18999.92692586295,0.5285034657972342,0.04549955547778823,11.615574267648322,3.434728171889053e-31,1.1230887645965067e-28,UP,ENSMUSG00000018340,Anxa6,protein_coding,Anxa6,UP,0.5285034657972342,14.771453024956267
ENSMUSG00000026566.16,NA,554.5385771153118,0.7862088549226632,0.06773188861040319,11.60766178313691,3.7677809148133013e-31,1.2082983564505116e-28,UP,ENSMUSG00000026566,Mpzl1,protein_coding,Mpzl1,UP,0.7862088549226632,21.94924186613824
ENSMUSG00000060594.7,Layn,794.8189276760385,0.883929699893604,0.0765832810852399,11.54207142038951,8.095197197054729e-31,2.54708506524688e-28,UP,ENSMUSG00000060594,Layn,protein_coding,Layn,UP,0.883929699893604,24.391117732666032
ENSMUSG00000038332.14,NA,2378.7897304294693,-0.9825741335606742,0.08532845986830918,-11.515198271211272,1.1060484904166124e-30,3.4156415974421166e-28,DOWN,ENSMUSG00000038332,Sesn1,protein_coding,Sesn1,DOWN,0.9825741335606742,26.987899662664265
ENSMUSG00000004665.11,NA,2786.4849364242705,0.9213387433548716,0.08003982744094411,11.511003619225244,1.161191035944863e-30,3.520731220984824e-28,UP,ENSMUSG00000004665,Cnn2,protein_coding,Cnn2,UP,0.9213387433548716,25.293850771026392
ENSMUSG00000041153.10,NA,799.1065688149453,0.8474209322434776,0.07366443655102166,11.503799824173427,1.2623311044372452e-30,3.7590416959991964e-28,UP,ENSMUSG00000041153,Osgin2,protein_coding,Osgin2,UP,0.8474209322434776,23.240453694170156
ENSMUSG00000034271.17,NA,1936.0764506264477,0.8494678016189372,0.0738945830311607,11.495670816096547,1.3869930282948726e-30,4.0578062701482965e-28,UP,ENSMUSG00000034271,Jdp2,protein_coding,Jdp2,UP,0.8494678016189372,23.268374564428537
ENSMUSG00000030103.12,NA,1096.266448340651,0.8902579216817799,0.07780436744546129,11.442261545353814,2.5709509177917632e-30,7.391927156050939e-28,UP,ENSMUSG00000030103,Bhlhe40,protein_coding,Bhlhe40,UP,0.8902579216817799,24.153803401813388
ENSMUSG00000028494.13,NA,46783.30366581947,0.6214061628638226,0.0544338750382912,11.415798754483268,3.486858222168128e-30,9.85539791743656e-28,UP,ENSMUSG00000028494,Plin2,protein_coding,Plin2,UP,0.6214061628638226,16.781897310884407
ENSMUSG00000038235.5,F11r,585.4337058071412,1.1055743816841508,0.09721082383528816,11.37295558319114,5.702339805621708e-30,1.5848703099757933e-27,UP,ENSMUSG00000038235,F11r,protein_coding,F11r,UP,1.1055743816841508,29.6294003614553
ENSMUSG00000037418.7,Best1,142.7188036536914,1.3032679306353572,0.11470640846072162,11.361770873347751,6.481723859897107e-30,1.7719545424203958e-27,UP,ENSMUSG00000037418,Best1,protein_coding,Best1,UP,1.3032679306353572,34.86443385212939
ENSMUSG00000078151.4,Gm12226,1146.3835375991034,0.7007975036114439,0.06171999399456939,11.354464870380667,7.047004126526187e-30,1.8954167873217848e-27,UP,ENSMUSG00000078151,Gm12226,transcribed_processed_pseudogene,Gm12226,UP,0.7007975036114439,18.72691782105493
ENSMUSG00000028645.12,NA,19908.7508933275,1.0595069471768348,0.09377109539694944,11.298864993437016,1.3292484803912903e-29,3.5184996284135166e-27,UP,ENSMUSG00000028645,Slc2a1,protein_coding,Slc2a1,UP,1.0595069471768348,28.027817996819326
ENSMUSG00000036478.9,Btg1,8843.78762824891,0.833344439584624,0.07377883117876596,11.2951699867057,1.3863555926339298e-29,3.6123227910567835e-27,UP,ENSMUSG00000036478,Btg1,protein_coding,Btg1,UP,0.833344439584624,22.035471547870532
ENSMUSG00000050578.11,NA,32520.46578403572,1.178498008253483,0.10465532836856328,11.26075496226224,2.0499494090440467e-29,5.259224053110542e-27,UP,ENSMUSG00000050578,Mmp13,protein_coding,Mmp13,UP,1.178498008253483,30.96984146711623
ENSMUSG00000035399.13,NA,2178.851956042168,0.6164505482654249,0.05502891626306671,11.202302173614909,3.9727327926343905e-29,1.0037771522722896e-26,UP,ENSMUSG00000035399,Oser1,protein_coding,Oser1,UP,0.6164505482654249,16.02670493662426
ENSMUSG00000116657.2,Gm49774,80.31725615664108,1.6048647733202583,0.14391461919564918,11.15150623536359,7.040437242837755e-29,1.7523333053964543e-26,UP,ENSMUSG00000116657,Gm49774,lncRNA,Gm49774,UP,1.6048647733202583,41.33551222162947
ENSMUSG00000034226.8,Rhov,711.2957566694969,1.367169168581565,0.12264207013179527,11.14763610164407,7.353396727028516e-29,1.8033124091165817e-26,UP,ENSMUSG00000034226,Rhov,protein_coding,Rhov,UP,1.367169168581565,35.196306046320395
ENSMUSG00000028437.15,NA,5053.687563049299,0.5716183356722618,0.05128593773547879,11.145712858377266,7.514015280338255e-29,1.815995924853924e-26,UP,ENSMUSG00000028437,Ubap1,protein_coding,Ubap1,UP,0.5716183356722618,14.713961916960349
ENSMUSG00000045348.17,NA,208.0171024715895,1.3330876623928427,0.11972367121322204,11.134704180752014,8.502683495682095e-29,1.9970528165351354e-26,UP,ENSMUSG00000045348,Nyap1,protein_coding,Nyap1,UP,1.3330876623928427,34.259833617980085
ENSMUSG00000019916.15,NA,13259.15968097184,0.4894845742965781,0.04395866205898584,11.135110837535596,8.463965331829243e-29,1.9970528165351354e-26,NO,ENSMUSG00000019916,P4ha1,protein_coding,P4ha1,NS,0.4894845742965781,12.579562880259248
ENSMUSG00000005125.14,NA,3719.008870987512,0.919932256648884,0.08268837346733665,11.12529147779492,9.449650482470827e-29,2.1886440478567154e-26,UP,ENSMUSG00000005125,Ndrg1,protein_coding,Ndrg1,UP,0.919932256648884,23.60530059288147
ENSMUSG00000032000.18,NA,4513.683236088035,0.5539179944001523,0.04996207216335033,11.086769831906189,1.454452716963946e-28,3.3225278778206524e-26,UP,ENSMUSG00000032000,Birc3,protein_coding,Birc3,UP,0.5539179944001523,14.113016994739002
ENSMUSG00000028218.20,NA,283.55668130671,-1.1678591412414392,0.10558131045987589,-11.061229834661516,1.9342695351172135e-28,4.325363200159499e-26,DOWN,ENSMUSG00000028218,Cibar1,protein_coding,Cibar1,DOWN,1.1678591412414392,29.62155288704328
ENSMUSG00000134796.1,ENSMUSG00000134796,703.4053466931572,1.104264435837293,0.09983658955625874,11.06071872792721,1.945324058598959e-28,4.325363200159499e-26,UP,ENSMUSG00000134796,ENSMUSG00000134796,lncRNA,ENSMUSG00000134796,UP,1.104264435837293,28.008538215203323
