gene_symbol,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,abs_log2FC,rank_score
Id3,ENSMUSG00000007872.4,ENSMUSG00000007872,protein_coding,1090.1013321358148,1.5095028047082846,4.1796442239329186e-24,UP,1.5095028047082846,35.29045577382245
Cxcr4,ENSMUSG00000045382.7,ENSMUSG00000045382,protein_coding,906.9074012627216,1.4660315595586442,5.699078215762874e-24,UP,1.4660315595586442,34.07672400744602
Phospho1,ENSMUSG00000050860.7,ENSMUSG00000050860,protein_coding,760.3142726150386,1.541494506050548,3.49935657626425e-23,UP,1.541494506050548,34.61581882007846
Peds1,ENSMUSG00000090213.2,ENSMUSG00000090213,protein_coding,8366.810491410406,0.8797371204181297,4.030103636733005e-23,UP,0.8797371204181297,19.701434626174834
Cd14,ENSMUSG00000051439.8,ENSMUSG00000051439,protein_coding,68039.21222313333,1.18573328510648,9.766798252137893e-23,UP,1.18573328510648,26.098283409972183
Ezr,ENSMUSG00000052397.9,ENSMUSG00000052397,protein_coding,5827.417415307311,0.837698901420733,1.1787109291247176e-22,UP,0.837698901420733,18.369558005804365
Cacnb3,ENSMUSG00000003352.15,ENSMUSG00000003352,protein_coding,106.71199113467635,1.5649597145220244,1.179671524796001e-22,UP,1.5649597145220244,34.31681049449336
Afg3l2,ENSMUSG00000024527.11,ENSMUSG00000024527,protein_coding,3458.4705104392,0.7357775265692842,1.9004533344640296e-22,UP,0.7357775265692842,15.981928716291131
Jmjd6,ENSMUSG00000056962.12,ENSMUSG00000056962,protein_coding,1999.7024769830796,0.8411976866572152,3.3352119524423154e-22,UP,0.8411976866572152,18.06629888014981
Lrpap1,ENSMUSG00000029103.17,ENSMUSG00000029103,protein_coding,8410.358066647592,0.5322431113093128,3.5444967855270068e-22,UP,0.5322431113093128,11.416851805675977
Spsb4,ENSMUSG00000046997.6,ENSMUSG00000046997,protein_coding,209.6368497122384,0.9966932523440803,3.5912153675132407e-22,UP,0.9966932523440803,21.373846144107127
Slamf7,ENSMUSG00000038179.14,ENSMUSG00000038179,protein_coding,19277.211890775383,0.9673657764489206,2.345717494758338e-21,UP,0.9673657764489206,19.95648925871855
Ifrd1,ENSMUSG00000001627.13,ENSMUSG00000001627,protein_coding,3068.6482037005217,1.1242121288029367,2.564506546147147e-21,UP,1.1242121288029367,23.148647658705766
Selenbp1,ENSMUSG00000068874.14,ENSMUSG00000068874,protein_coding,1883.652357720685,1.2151709541775857,2.5743492494387683e-21,UP,1.2151709541775857,25.019558862210875
Rffl,ENSMUSG00000020696.19,ENSMUSG00000020696,protein_coding,1406.5552430407226,0.6684588271469462,4.680485451310655e-21,UP,0.6684588271469462,13.589573501470474
Selenbp2,ENSMUSG00000068877.13,ENSMUSG00000068877,protein_coding,608.9135369163872,1.2288537227673435,5.824341507742627e-21,UP,1.2288537227673435,24.865551760118585
Dusp4,ENSMUSG00000031530.7,ENSMUSG00000031530,protein_coding,1086.4909769213186,1.2055106505111506,1.1190474965791796e-20,UP,1.2055106505111506,24.05132559909084
Tec,ENSMUSG00000029217.17,ENSMUSG00000029217,protein_coding,1763.7715258502026,0.7063338861785803,1.7461789173423788e-20,UP,0.7063338861785803,13.955682242750877
Pim3,ENSMUSG00000035828.12,ENSMUSG00000035828,protein_coding,830.2470249675009,1.0756791937907442,4.313183208362102e-20,UP,1.0756791937907442,20.830744976294135
Tnfrsf9,ENSMUSG00000028965.14,ENSMUSG00000028965,protein_coding,171.84810107069714,1.90938893289616,8.167160065451338e-20,UP,1.90938893289616,36.44628025607283
Smpdl3b,ENSMUSG00000028885.9,ENSMUSG00000028885,protein_coding,2681.464549926124,0.6826994195942596,9.714510329479688e-20,UP,0.6826994195942596,12.979876706729728
Gipr,ENSMUSG00000030406.8,ENSMUSG00000030406,protein_coding,87.19600171195916,1.966977209274256,1.1819829353364298e-19,UP,1.966977209274256,37.22974238780301
Adamtsl4,ENSMUSG00000015850.12,ENSMUSG00000015850,protein_coding,169.58513780143426,1.3542835988931283,1.7454714598209385e-19,UP,1.3542835988931283,25.403769906484246
Anxa2,ENSMUSG00000032231.15,ENSMUSG00000032231,protein_coding,56276.71030923408,0.6474472778332695,2.061073721887624e-19,UP,0.6474472778332695,12.098139280310404
Cd24a,ENSMUSG00000047139.10,ENSMUSG00000047139,protein_coding,264.97571549192,1.443975579343416,2.3128937264034727e-19,UP,1.443975579343416,26.909704101234134
Acvrl1,ENSMUSG00000000530.17,ENSMUSG00000000530,protein_coding,4808.603277120076,0.5250573793257628,2.4890495581363623e-19,UP,0.5250573793257628,9.768149872609197
Rdh12,ENSMUSG00000021123.13,ENSMUSG00000021123,protein_coding,73.30952372657656,1.8716236033229092,2.5521944955156257e-19,UP,1.8716236033229092,34.79925905106018
Rgcc,ENSMUSG00000022018.8,ENSMUSG00000022018,protein_coding,113.56562779928394,1.5788602050366831,2.7565447418354896e-19,UP,1.5788602050366831,29.30306904893748
